135919972,   0.049,  -0.018,  -0.033,  -4.179,  -0.430,   8.879
135939188,   0.044,  -0.021,  -0.033,  -4.166,  -0.447,   8.847
135958404,   0.026,  -0.021,  -0.021,  -4.191,  -0.496,   8.876
135980022,   0.014,  -0.021,   0.006,  -4.204,  -0.433,   8.837
135999238,   0.019,  -0.023,   0.025,  -4.152,  -0.309,   8.823
136018455,   0.013,  -0.032,   0.021,  -4.136,  -0.152,   8.900
136040073,   0.003,  -0.022,  -0.004,  -4.179,  -0.067,   8.925
136059289,   0.003,  -0.004,  -0.029,  -4.224,  -0.135,   8.892
136078505,   0.006,   0.001,  -0.032,  -4.216,  -0.286,   8.781
136100123,   0.006,  -0.022,  -0.021,  -4.241,  -0.436,   8.751
136119341,   0.000,  -0.034,  -0.013,  -4.331,  -0.400,   8.844
136138556,  -0.002,  -0.015,  -0.013,  -4.358,  -0.342,   8.891
136160174,   0.000,   0.001,  -0.019,  -4.299,  -0.345,   8.773
136179391,   0.010,  -0.018,  -0.016,  -4.225,  -0.427,   8.678
136198607,   0.027,  -0.052,   0.006,  -4.098,  -0.554,   8.706
136220225,   0.032,  -0.067,   0.036,  -4.049,  -0.559,   8.846
136239442,   0.022,  -0.055,   0.058,  -3.942,  -0.444,   9.041
136258657,   0.016,  -0.054,   0.066,  -3.878,  -0.299,   9.058
136280276,   0.028,  -0.052,   0.063,  -3.881,  -0.119,   9.026
136299492,   0.040,  -0.045,   0.049,  -4.026,  -0.037,   8.986
136318708,   0.048,  -0.032,   0.035,  -4.263,  -0.026,   8.951
136340327,   0.039,  -0.017,   0.015,  -4.435,  -0.120,   8.889
